,First,Longitude,Latitude,Longitude_difference,Latitude_difference,distance(km)
0,2023-06-08 20:18:48,126.214,25.105,-0.1490000000000009,-0.2010000000000005,26.911825611512775
1,2023-06-09 10:49:48,126.363,25.306,-0.025000000000005684,0.08300000000000196,9.565447650540586
2,2023-06-09 20:17:48,126.388,25.223,1.3500000000000085,2.308,290.93757447697817
3,2023-06-10 10:49:48,125.038,22.915,-1.2750000000000057,2.283999999999999,342.1969306017949
4,2023-06-11 10:39:48,128.213,23.906,1.0989999999999895,-1.7729999999999997,226.2158007848386
5,2023-06-11 20:13:48,127.114,25.679,0.5990000000000038,1.0079999999999991,127.26482469108832
6,2023-06-12 10:48:48,126.515,24.671,0.09900000000000375,-0.13100000000000023,17.667705069034483
7,2023-06-12 20:18:48,126.416,24.802,0.5990000000000038,1.0210000000000008,128.74182672063847
8,2023-06-13 10:49:48,125.817,23.781,0.47399999999998954,-0.7590000000000003,97.1359022879141
9,2023-06-13 20:23:48,125.343,24.54,-0.6509999999999962,-1.0310000000000024,132.0711896740309
10,2023-06-14 10:53:48,125.994,25.571,0.09799999999999898,-0.13299999999999912,17.754680216621473
11,2023-06-14 20:18:48,125.896,25.704,-1.2759999999999962,-1.9619999999999997,252.31742406294777
12,2023-06-15 10:54:48,127.172,27.666,-0.652000000000001,1.022000000000002,130.67282230000308
13,2023-06-15 20:08:48,127.824,26.644,1.222999999999999,1.9669999999999987,250.72238541704473
14,2023-06-16 10:49:48,126.601,24.677,-0.902000000000001,1.5109999999999992,191.4003237861866
15,2023-06-16 20:18:48,127.503,23.166,0.597999999999999,1.033999999999999,130.3268021263135
16,2023-06-17 10:42:48,126.905,22.132,0.09799999999999898,-0.1559999999999988,20.06682345202853
17,2023-06-17 20:23:48,126.807,22.288,-0.777000000000001,-1.3039999999999985,165.39258960827763
18,2023-06-18 10:43:48,127.584,23.592,0.09799999999999898,-0.15300000000000225,19.724248436946382
19,2023-06-18 20:17:48,127.486,23.745,0.2220000000000084,0.37900000000000134,47.83367586270179
20,2023-06-19 10:44:48,127.264,23.366,-0.277000000000001,0.4720000000000013,59.63953423477929
21,2023-06-19 20:19:48,127.541,22.894,-0.7770000000000152,-1.2900000000000027,163.85695773224103
22,2023-06-20 10:42:48,128.318,24.184,2.473000000000013,-3.8709999999999987,359.64143129293996
23,2023-06-24 10:51:48,125.285,22.538,-1.0260000000000105,1.774000000000001,223.95071071612097
24,2023-06-24 20:30:48,126.311,20.764,0.2230000000000132,0.384999999999998,48.69956517782007
25,2023-06-25 10:43:48,126.088,20.379,0.722999999999999,-1.2899999999999991,161.8839675409159
26,2023-06-25 20:32:48,125.365,21.669,0.22399999999998954,0.3760000000000012,265.4593809375664
27,2023-06-29 10:50:48,124.045,19.626,0.8500000000000085,-1.5559999999999974,316.3253330357787
28,2023-07-08 10:48:48,125.824,21.934,0.7309999999999945,-1.3639999999999972,169.21374505239314
29,2023-07-08 20:34:48,125.093,23.298,0.23100000000000875,0.347999999999999,45.33629517778027
30,2023-07-09 10:54:48,124.862,22.95,0.23199999999999932,-0.4740000000000002,57.795211367969166
31,2023-07-09 20:36:48,124.63,23.424,-0.8930000000000007,-1.6170000000000009,201.31274715301097
32,2023-07-10 10:56:48,125.523,25.041,-0.5170000000000101,0.8249999999999993,483.2824855302238
33,2023-07-12 20:31:48,127.48,21.085,0.9849999999999994,1.833000000000002,228.2795232802699
34,2023-07-13 10:39:48,126.495,19.252,1.1110000000000042,-2.216000000000001,272.26575207584096
35,2023-07-13 20:39:48,125.384,21.468,-0.1389999999999958,-0.33800000000000097,40.23629284717226
36,2023-07-14 10:48:48,125.523,21.806,0.23699999999999477,-0.5229999999999997,63.07499898770279
37,2023-07-14 20:38:48,125.286,22.329,-1.5130000000000052,-2.8339999999999996,350.7295312967831
38,2023-07-15 10:50:48,126.799,25.163,0.9879999999999995,-1.7989999999999995,223.0561748625748
39,2023-07-15 20:26:48,125.811,26.962,-0.6369999999999862,-1.1600000000000001,143.4625722926085
40,2023-07-16 10:58:48,126.448,28.122,-0.7610000000000099,1.184000000000001,151.53638134958015
41,2023-07-16 20:21:48,127.209,26.938,1.3640000000000043,2.3099999999999987,290.90261346772775
42,2023-07-17 10:52:48,125.845,24.628,-0.2600000000000051,0.3810000000000002,49.87573338765346
43,2023-07-17 20:32:48,126.105,24.247,-0.3849999999999909,-0.7989999999999995,96.99140822121637
44,2023-07-18 10:50:48,126.49,25.046,1.3659999999999997,-2.5120000000000005,310.7357753981934
45,2023-07-18 20:29:48,125.124,27.558,0.9909999999999997,1.6329999999999991,206.53036061445158
46,2023-07-19 11:01:48,124.133,25.925,-1.0080000000000098,1.7469999999999999,219.19187551574726
47,2023-07-19 20:37:48,125.141,24.178,-1.5069999999999908,-2.847999999999999,265.8533340955716
48,2023-07-22 10:50:48,126.671,26.127,-1.5049999999999812,2.7489999999999988,263.99158928361817
49,2023-07-24 20:41:48,124.312,25.073,-0.0010000000000047748,-0.1280000000000001,14.233306585264728
